,names,labels
12,dreams,0
13,dreams,0
14,dreams,0
15,dreams,0
16,dreams,0
17,dreams,0
18,dreams,0
19,dreams,0
20,dreams,0
21,dreams,0
132,taste,0
133,taste,0
134,taste,0
135,taste,0
136,taste,0
137,taste,0
138,taste,0
139,taste,0
140,taste,0
1,beekeeping,1
2,beekeeping,1
3,beekeeping,1
4,beekeeping,1
5,beekeeping,1
6,beekeeping,1
7,beekeeping,1
8,beekeeping,1
9,beekeeping,1
10,beekeeping,1
11,beekeeping,1
52,lawn_mower,1
53,lawn_mower,1
54,lawn_mower,1
55,lawn_mower,1
56,lawn_mower,1
57,lawn_mower,1
58,lawn_mower,1
59,lawn_mower,1
60,lawn_mower,1
61,lawn_mower,1
22,gambling,2
23,gambling,2
24,gambling,2
25,gambling,2
26,gambling,2
27,gambling,2
28,gambling,2
29,gambling,2
30,gambling,2
31,gambling,2
162,opera,2
163,opera,2
164,opera,2
165,opera,2
166,opera,2
167,opera,2
168,opera,2
169,opera,2
170,opera,2
171,opera,2
172,opera,2
92,pharmacist,2
93,pharmacist,2
94,pharmacist,2
95,pharmacist,2
96,pharmacist,2
97,pharmacist,2
98,pharmacist,2
99,pharmacist,2
100,pharmacist,2
101,pharmacist,2
62,astronaut,3
63,astronaut,3
64,astronaut,3
65,astronaut,3
66,astronaut,3
67,astronaut,3
68,astronaut,3
69,astronaut,3
70,astronaut,3
71,astronaut,3
42,ice_cream,3
43,ice_cream,3
44,ice_cream,3
45,ice_cream,3
46,ice_cream,3
47,ice_cream,3
48,ice_cream,3
49,ice_cream,3
50,ice_cream,3
51,ice_cream,3
213,pyramid,3
214,pyramid,3
215,pyramid,3
216,pyramid,3
217,pyramid,3
218,pyramid,3
219,pyramid,3
220,pyramid,3
221,pyramid,3
222,pyramid,3
183,owl,4
184,owl,4
185,owl,4
186,owl,4
187,owl,4
188,owl,4
189,owl,4
190,owl,4
191,owl,4
192,owl,4
193,polar_bear,4
194,polar_bear,4
195,polar_bear,4
196,polar_bear,4
197,polar_bear,4
198,polar_bear,4
199,polar_bear,4
200,polar_bear,4
201,polar_bear,4
202,polar_bear,4
223,rock_climbing,4
224,rock_climbing,4
225,rock_climbing,4
226,rock_climbing,4
227,rock_climbing,4
228,rock_climbing,4
229,rock_climbing,4
230,rock_climbing,4
231,rock_climbing,4
232,rock_climbing,4
233,rock_climbing,4
0,skiing,4
234,skiing,4
235,skiing,4
236,skiing,4
237,skiing,4
238,skiing,4
239,skiing,4
240,skiing,4
241,skiing,4
242,skiing,4
82,law_school,5
83,law_school,5
84,law_school,5
85,law_school,5
86,law_school,5
87,law_school,5
88,law_school,5
89,law_school,5
90,law_school,5
91,law_school,5
141,bone_fracture,6
142,bone_fracture,6
143,bone_fracture,6
144,bone_fracture,6
145,bone_fracture,6
146,bone_fracture,6
147,bone_fracture,6
148,bone_fracture,6
149,bone_fracture,6
150,bone_fracture,6
151,bone_fracture,6
102,stress,6
103,stress,6
104,stress,6
105,stress,6
106,stress,6
107,stress,6
108,stress,6
109,stress,6
110,stress,6
111,stress,6
32,hurricane,7
33,hurricane,7
34,hurricane,7
35,hurricane,7
36,hurricane,7
37,hurricane,7
38,hurricane,7
39,hurricane,7
40,hurricane,7
41,hurricane,7
203,castle,9
204,castle,9
205,castle,9
206,castle,9
207,castle,9
208,castle,9
209,castle,9
210,castle,9
211,castle,9
212,castle,9
72,computer_graphics,10
73,computer_graphics,10
74,computer_graphics,10
75,computer_graphics,10
76,computer_graphics,10
77,computer_graphics,10
78,computer_graphics,10
79,computer_graphics,10
80,computer_graphics,10
81,computer_graphics,10
152,infection,10
153,infection,10
154,infection,10
155,infection,10
156,infection,10
157,infection,10
158,infection,10
159,infection,10
160,infection,10
161,infection,10
122,blindness,11
123,blindness,11
124,blindness,11
125,blindness,11
126,blindness,11
127,blindness,11
128,blindness,11
129,blindness,11
130,blindness,11
131,blindness,11
173,painter,11
174,painter,11
175,painter,11
176,painter,11
177,painter,11
178,painter,11
179,painter,11
180,painter,11
181,painter,11
182,painter,11
112,tuxedo,11
113,tuxedo,11
114,tuxedo,11
115,tuxedo,11
116,tuxedo,11
117,tuxedo,11
118,tuxedo,11
119,tuxedo,11
120,tuxedo,11
121,tuxedo,11
